date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-01-01,9.6,5.6,15.3,0.0,,252.0,8.5,,1032.2,,Alicante
2020-01-02,10.6,6.9,13.7,0.0,,284.0,10.9,,1032.1,,Alicante
2020-01-03,8.7,2.5,16.2,0.0,,275.0,10.1,,1031.2,,Alicante
2020-01-04,10.6,5.9,15.0,0.0,,309.0,9.6,,1032.6,,Alicante
2020-01-05,9.4,5.4,16.1,0.0,,271.0,7.1,,1029.5,,Alicante
2020-01-06,8.3,3.8,14.6,0.0,,270.0,6.7,,1029.3,,Alicante
2020-01-07,9.2,5.1,15.0,0.0,,265.0,6.2,,1030.6,,Alicante
2020-01-08,8.1,2.8,14.1,0.0,,309.0,7.1,,1029.7,,Alicante
2020-01-09,10.9,7.8,16.1,0.0,,283.0,10.7,,1028.0,,Alicante
2020-01-10,10.9,5.1,16.6,0.0,,299.0,12.1,,1024.7,,Alicante
2020-01-11,11.1,6.9,16.1,0.0,,11.0,10.3,,1029.6,,Alicante
2020-01-12,8.7,2.0,14.7,0.0,,333.0,10.0,,1030.0,,Alicante
2020-01-13,8.5,2.7,14.7,0.0,,251.0,13.5,,1026.5,,Alicante
2020-01-14,10.1,4.8,16.2,0.0,,238.0,14.7,,1022.7,,Alicante
2020-01-15,10.5,5.9,16.7,0.0,,250.0,12.1,,1025.7,,Alicante
2020-01-16,12.5,5.2,17.0,0.0,,270.0,7.7,,1028.3,,Alicante
2020-01-17,11.9,3.0,20.0,0.0,,266.0,11.2,,1029.0,,Alicante
2020-01-18,12.1,9.0,16.0,0.0,,275.0,8.0,,1027.7,,Alicante
2020-01-19,11.4,9.0,14.0,0.0,,334.0,20.8,,1015.0,,Alicante
2020-01-20,10.2,6.9,14.0,1.5,10.0,20.0,24.9,,1015.3,,Alicante
2020-01-21,12.3,8.0,16.0,32.3,20.0,40.0,17.9,,1012.9,,Alicante
2020-01-22,11.9,9.0,16.0,3.3,10.0,26.0,11.7,,1017.4,,Alicante
2020-01-23,10.4,6.0,14.0,0.0,,10.0,11.2,,1020.4,,Alicante
2020-01-24,12.2,7.7,16.0,4.6,,28.0,11.8,,1021.3,,Alicante
2020-01-25,12.1,8.7,14.9,0.0,,328.0,8.2,,1018.9,,Alicante
2020-01-26,12.1,6.3,17.2,0.0,,270.0,16.2,,1021.3,,Alicante
