date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-01-02,0.5,-0.3,1.6,0.0,,263.0,4.1,11.1,1034.6,,Andorra
2020-01-03,3.1,-0.1,8.5,0.0,,303.0,14.0,33.3,1034.2,,Andorra
2020-01-04,8.0,3.6,13.6,0.0,,305.0,17.5,33.3,1034.2,,Andorra
2020-01-05,7.3,3.0,13.3,0.0,,310.0,12.8,25.9,1031.1,,Andorra
2020-01-06,2.4,1.4,3.2,0.0,,300.0,11.1,18.5,1032.1,,Andorra
2020-01-07,2.4,0.9,6.0,0.0,,293.0,5.4,16.7,1033.1,,Andorra
2020-01-08,2.6,1.3,4.1,0.0,,136.0,7.5,14.8,1032.7,,Andorra
2020-01-09,2.4,1.3,3.9,0.0,,170.0,7.3,16.7,1029.3,,Andorra
2020-01-10,7.4,3.8,11.7,0.0,,303.0,24.9,44.5,1028.7,,Andorra
2020-01-11,6.7,0.9,12.0,0.0,,294.0,16.2,38.9,1031.8,,Andorra
2020-01-12,2.9,-1.8,10.5,0.0,,147.0,6.6,13.0,1031.8,,Andorra
2020-01-13,-0.3,-1.9,2.4,0.0,,112.0,7.9,16.7,1027.6,,Andorra
2020-01-14,0.0,-2.8,5.4,0.0,,115.0,9.2,18.5,1024.3,,Andorra
2020-01-15,2.0,-2.1,8.6,0.0,,115.0,10.8,20.4,1026.0,,Andorra
2020-01-16,5.8,0.3,13.3,0.2,,109.0,12.7,22.2,1027.9,,Andorra
2020-01-17,8.7,3.9,16.2,0.0,,290.0,15.8,35.2,1028.9,,Andorra
2020-01-18,6.9,2.8,11.6,2.2,,106.0,10.7,22.2,1027.4,,Andorra
2020-01-19,6.4,3.2,8.7,0.8,,312.0,30.8,53.7,1023.0,,Andorra
2020-01-20,3.8,2.1,6.6,5.2,,311.0,29.4,46.3,1029.5,,Andorra
2020-01-21,3.5,1.2,5.1,41.0,,305.0,22.5,40.8,1026.2,,Andorra
2020-01-22,6.3,4.5,9.0,2.8,,288.0,14.0,40.8,1022.9,,Andorra
2020-01-23,7.9,6.0,11.2,0.0,,116.0,7.8,20.4,1021.7,,Andorra
2020-01-24,7.7,5.1,9.9,0.0,,113.0,6.5,18.5,1022.6,,Andorra
2020-01-25,8.5,6.2,12.1,10.2,,110.0,8.3,22.2,1019.8,,Andorra
2020-01-26,9.4,5.8,13.6,0.0,,277.0,10.4,25.9,1021.4,,Andorra
