date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-01-01,6.4,0.4,16.1,0.0,,15.0,2.3,13.0,1032.2,,Badajoz
2020-01-02,6.5,1.7,13.2,0.0,,301.0,3.3,9.3,1032.0,,Badajoz
2020-01-03,10.8,6.5,15.2,0.0,,279.0,5.1,14.8,1033.3,,Badajoz
2020-01-04,6.8,1.2,13.6,0.0,,18.0,4.2,16.7,1033.6,,Badajoz
2020-01-05,6.3,0.7,14.4,0.0,,35.0,3.3,16.7,1030.6,,Badajoz
2020-01-06,5.9,-0.3,14.7,0.0,,306.0,3.3,11.1,1030.1,,Badajoz
2020-01-07,5.8,-0.6,15.5,0.0,,51.0,2.9,13.0,1032.2,,Badajoz
2020-01-08,4.9,-1.3,14.6,0.0,,330.0,2.6,11.1,1030.2,,Badajoz
2020-01-09,6.3,0.7,14.2,0.0,,312.0,3.5,14.8,1028.9,,Badajoz
2020-01-10,8.4,3.8,14.3,0.0,,312.0,9.3,25.9,1029.1,,Badajoz
2020-01-11,4.5,-1.2,14.3,0.0,,24.0,4.9,22.2,1032.1,,Badajoz
2020-01-12,4.9,-2.0,15.1,0.0,,50.0,2.3,11.1,1032.1,,Badajoz
2020-01-13,4.1,-1.9,13.2,0.0,,124.0,3.6,11.1,1028.0,,Badajoz
2020-01-14,6.2,-0.5,12.0,0.0,,127.0,5.6,18.5,1024.2,,Badajoz
2020-01-15,12.3,5.5,17.6,0.0,,165.0,12.0,27.8,1023.7,,Badajoz
2020-01-16,11.8,5.7,18.2,1.0,,147.0,7.7,25.9,1026.8,,Badajoz
2020-01-17,11.4,7.8,16.2,3.0,,255.0,5.0,24.1,1031.5,,Badajoz
2020-01-18,13.1,9.0,18.6,4.2,,222.0,9.1,35.2,1027.5,,Badajoz
2020-01-19,10.1,5.3,14.6,0.0,,325.0,22.2,53.7,1023.3,,Badajoz
2020-01-20,6.7,3.6,11.6,0.0,,23.0,23.1,55.5,1021.7,,Badajoz
2020-01-21,8.0,3.2,13.4,0.0,,30.0,14.0,44.5,1017.4,,Badajoz
2020-01-22,8.1,5.7,10.1,8.2,,69.0,12.3,37.0,1016.0,,Badajoz
2020-01-23,9.3,7.1,13.8,1.4,,100.0,12.5,29.6,1015.8,,Badajoz
2020-01-24,9.6,6.3,13.4,6.8,,94.0,10.9,25.9,1018.2,,Badajoz
2020-01-25,9.9,6.3,14.6,0.0,,145.0,5.5,27.8,1016.7,,Badajoz
2020-01-26,8.3,4.9,14.4,0.0,,250.0,4.6,13.0,1024.9,,Badajoz
2020-01-27,9.7,4.1,15.5,0.0,,152.0,7.7,22.2,1025.7,,Badajoz
2020-01-28,13.5,12.3,15.6,0.4,,212.0,7.7,25.9,1025.0,,Badajoz
2020-01-29,12.7,9.5,16.8,0.0,,199.0,4.6,16.7,1025.7,,Badajoz
2020-01-30,12.7,9.0,17.1,0.8,,200.0,5.3,18.5,1025.9,,Badajoz
2020-01-31,14.3,12.6,17.0,0.2,,199.0,5.8,16.7,1025.8,,Badajoz
2020-02-01,15.4,13.6,18.5,0.0,,217.0,5.8,18.5,1027.1,,Badajoz
2020-02-02,14.6,8.2,20.7,0.0,,86.0,7.2,20.4,1029.6,,Badajoz
2020-02-03,13.4,6.8,22.5,0.0,,65.0,4.7,22.2,1029.8,,Badajoz
2020-02-04,11.5,7.4,20.2,0.2,,288.0,3.1,9.3,1029.7,,Badajoz
