date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2019-12-31,6.8,3.0,12.0,0.0,,353.0,6.6,31.5,1032.7,,Barcelona
2020-01-01,5.9,0.0,12.0,0.0,,15.0,4.2,31.5,1032.1,,Barcelona
2020-01-02,5.8,1.0,13.0,0.0,,336.0,5.2,29.6,1031.8,,Barcelona
2020-01-03,6.3,2.0,11.0,0.0,,2.0,4.7,29.6,1030.9,,Barcelona
2020-01-04,6.0,0.0,14.0,0.0,,356.0,4.8,33.3,1031.4,,Barcelona
2020-01-05,6.5,1.0,14.0,0.0,,8.0,5.6,35.2,1028.6,,Barcelona
2020-01-06,6.3,0.0,15.0,0.0,,358.0,4.8,31.5,1029.4,,Barcelona
2020-01-07,6.4,1.0,15.0,0.0,,348.0,3.0,33.3,1029.8,,Barcelona
2020-01-08,7.2,2.0,16.0,0.0,,17.0,4.6,33.3,1030.2,,Barcelona
2020-01-09,7.7,2.0,15.0,4.9,,321.0,5.4,29.6,1027.5,,Barcelona
2020-01-10,8.2,4.0,12.0,16.2,,15.0,6.9,27.8,1025.7,,Barcelona
2020-01-11,7.2,4.2,12.3,0.0,,2.0,16.8,29.6,1030.1,,Barcelona
2020-01-12,4.7,-1.0,14.0,0.0,,351.0,4.1,31.5,1029.9,,Barcelona
2020-01-13,4.9,-1.0,13.0,0.0,,325.0,3.6,31.5,1025.0,,Barcelona
2020-01-14,6.0,-1.0,15.0,0.0,,338.0,6.1,29.6,1022.0,,Barcelona
2020-01-15,6.4,1.0,15.0,0.0,,345.0,5.2,33.3,1023.6,,Barcelona
2020-01-16,7.6,1.0,16.0,0.0,,338.0,5.2,27.8,1027.0,,Barcelona
2020-01-17,10.4,5.0,17.0,0.0,,309.0,13.4,48.2,1025.3,,Barcelona
2020-01-18,8.5,3.0,15.0,0.2,,335.0,5.2,29.6,1026.4,,Barcelona
2020-01-19,9.8,7.0,12.0,0.0,,41.0,11.5,72.2,1020.1,,Barcelona
2020-01-20,9.4,8.0,11.0,54.1,,42.0,22.8,96.3,1025.0,,Barcelona
2020-01-21,9.3,1.0,11.0,87.9,,50.0,24.9,96.3,1024.0,,Barcelona
2020-01-22,11.3,0.0,14.0,10.4,,70.0,14.3,70.4,1020.8,,Barcelona
2020-01-23,11.1,4.0,15.0,0.1,,5.0,8.3,50.0,1020.4,,Barcelona
2020-01-24,8.3,3.0,16.0,0.0,,283.0,4.9,27.8,1021.4,,Barcelona
2020-01-25,9.1,5.0,14.0,0.0,,23.0,3.2,24.1,1020.0,,Barcelona
2020-01-26,10.0,5.0,16.0,0.0,,356.0,4.8,22.2,1019.3,,Barcelona
2020-01-27,9.5,5.0,14.0,0.0,,261.0,12.8,44.5,1019.8,,Barcelona
2020-01-28,11.6,8.0,16.0,0.0,,266.0,13.6,46.3,1017.3,,Barcelona
2020-01-29,10.3,6.0,17.0,0.0,,20.0,4.8,25.9,1020.4,,Barcelona
2020-01-30,11.2,6.0,19.0,0.0,,329.0,7.8,27.8,1019.7,,Barcelona
2020-01-31,12.8,7.0,20.0,0.0,,310.0,5.2,24.1,1020.6,,Barcelona
2020-02-01,13.4,8.0,21.0,0.0,,261.0,8.1,24.1,1020.7,,Barcelona
2020-02-02,14.0,7.0,22.0,0.0,,309.0,8.9,31.5,1025.3,,Barcelona
2020-02-03,16.3,11.0,23.0,0.0,,258.0,6.2,25.9,1025.9,,Barcelona
2020-02-04,14.5,10.0,21.0,0.0,,344.0,9.4,33.3,1022.1,,Barcelona
2020-02-05,9.5,3.0,17.0,0.0,,332.0,7.8,25.9,1027.8,,Barcelona
2020-02-06,8.0,2.0,17.0,0.0,,324.0,7.2,31.5,1026.7,,Barcelona
2020-02-07,8.8,4.0,14.0,0.0,,336.0,4.3,22.2,1024.6,,Barcelona
2020-02-08,10.1,5.0,14.0,0.0,,337.0,5.3,22.2,1024.5,,Barcelona
2020-02-09,10.5,3.0,17.0,0.0,,306.0,9.5,40.8,1027.8,,Barcelona
2020-02-10,14.7,10.0,20.0,0.0,,251.0,13.0,42.6,1025.7,,Barcelona
2020-02-11,12.8,8.0,17.0,0.0,,54.0,5.2,25.9,1023.3,,Barcelona
2020-02-12,11.4,10.0,13.0,0.0,,113.0,6.4,25.9,1024.4,,Barcelona
2020-02-13,13.2,9.0,19.0,0.0,,277.0,10.7,44.5,1020.5,,Barcelona
2020-02-14,11.3,7.0,16.0,0.0,,6.0,4.3,24.1,1024.1,,Barcelona
2020-02-15,13.0,8.0,19.0,0.0,,287.0,6.1,33.3,1025.4,,Barcelona
2020-02-16,13.4,12.0,17.0,0.0,,231.0,10.5,44.5,1025.3,,Barcelona
2020-02-17,13.9,10.0,21.0,1.1,,210.0,12.1,37.0,1024.4,,Barcelona
2020-02-18,11.2,7.0,14.0,0.0,,249.0,7.0,27.8,1030.2,,Barcelona
2020-02-19,8.8,4.0,16.0,0.0,,330.0,6.4,27.8,1029.8,,Barcelona
2020-02-20,9.5,2.0,19.0,0.0,,316.0,7.4,35.2,1025.3,,Barcelona
2020-02-21,10.9,4.0,19.0,0.0,,312.0,7.5,33.3,1028.4,,Barcelona
2020-02-22,10.0,4.0,17.0,0.0,,270.0,5.3,25.9,1031.3,,Barcelona
2020-02-23,12.7,4.0,23.0,0.0,,279.0,7.0,35.2,1031.2,,Barcelona
2020-02-24,13.4,5.0,23.0,0.0,,267.0,7.5,35.2,1024.3,,Barcelona
