date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-01-02,5.3,1.6,10.5,0.0,,340.0,3.6,,1033.0,,Barrio de la concepción
2020-01-03,3.4,1.5,6.0,0.0,,11.0,4.0,,1035.0,,Barrio de la concepción
2020-01-04,6.2,2.8,11.2,0.0,,3.0,6.8,,1035.0,,Barrio de la concepción
2020-01-05,5.6,1.5,10.9,0.0,,357.0,5.3,,1031.9,,Barrio de la concepción
2020-01-06,5.8,1.4,12.0,0.0,,332.0,4.6,,1031.2,,Barrio de la concepción
2020-01-07,6.2,0.8,12.0,0.0,,353.0,3.8,,1032.9,,Barrio de la concepción
2020-01-08,6.9,1.8,13.5,0.0,,340.0,3.6,,1031.2,,Barrio de la concepción
2020-01-09,7.3,4.0,11.5,0.0,,297.0,6.7,,1028.6,,Barrio de la concepción
2020-01-10,7.1,4.2,10.8,0.0,,356.0,10.1,,1029.1,,Barrio de la concepción
2020-01-11,4.0,2.0,10.4,0.0,,334.0,5.9,,1033.2,,Barrio de la concepción
2020-01-12,3.3,-0.7,9.0,0.0,,5.0,4.4,,1033.2,,Barrio de la concepción
2020-01-13,2.8,-0.5,8.5,0.0,,338.0,6.2,,1029.0,,Barrio de la concepción
2020-01-14,3.3,-0.5,8.4,0.0,,332.0,5.8,,1025.9,,Barrio de la concepción
2020-01-15,5.9,3.3,8.3,0.0,,347.0,5.0,,1026.9,,Barrio de la concepción
2020-01-16,9.1,7.2,12.8,0.0,,349.0,5.0,,1027.8,,Barrio de la concepción
2020-01-17,8.3,4.8,12.5,0.8,,217.0,9.7,,1030.3,,Barrio de la concepción
2020-01-18,6.7,5.3,8.5,1.6,,281.0,6.4,,1028.2,,Barrio de la concepción
2020-01-19,6.1,3.1,10.1,0.1,,5.0,19.3,,1022.1,,Barrio de la concepción
2020-01-20,3.9,1.7,5.7,0.0,,28.0,18.5,,1025.0,,Barrio de la concepción
2020-01-21,4.9,3.6,7.3,2.7,,24.0,19.1,,1020.8,,Barrio de la concepción
2020-01-22,6.1,4.4,10.0,1.2,,40.0,11.5,,1019.3,,Barrio de la concepción
2020-01-23,6.3,3.2,10.0,1.0,,31.0,4.4,,1020.2,,Barrio de la concepción
2020-01-24,7.1,6.2,9.2,5.4,,93.0,6.0,,1021.0,,Barrio de la concepción
