date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-01-02,5.0,-2.7,17.2,0.0,,177.0,3.6,,1030.9,,Cuenca
2020-01-03,3.9,-1.7,12.5,0.0,,216.0,3.1,,1030.3,,Cuenca
2020-01-04,3.9,-2.2,12.9,0.0,,51.0,3.5,,1031.6,,Cuenca
2020-01-05,4.0,-3.1,16.8,0.0,,193.0,3.2,,1028.5,,Cuenca
2020-01-06,5.4,-1.7,17.2,0.0,,213.0,3.0,,1028.8,,Cuenca
2020-01-07,6.1,-1.9,18.1,0.0,,,,,1029.6,,Cuenca
2020-01-08,6.1,-0.7,17.0,0.0,,254.0,3.0,,1029.5,,Cuenca
2020-01-09,5.6,-0.2,14.8,0.0,,153.0,7.2,,1027.0,,Cuenca
2020-01-10,4.9,0.5,11.1,0.0,,5.0,8.4,,1025.1,,Cuenca
2020-01-11,1.8,-3.0,12.0,0.0,,,,,1029.4,,Cuenca
2020-01-12,2.8,-3.5,12.8,0.0,,184.0,2.5,,1029.1,,Cuenca
2020-01-13,1.3,-4.9,10.4,0.0,,,,,,,Cuenca
2020-01-14,2.2,-4.7,11.8,0.0,,168.0,3.8,,1021.1,,Cuenca
2020-01-15,4.8,-0.2,9.2,0.0,,184.0,8.0,,1024.0,,Cuenca
2020-01-16,7.2,2.0,14.2,0.0,,,,,1027.0,,Cuenca
2020-01-17,6.7,3.3,11.5,0.0,,293.0,7.5,,1027.3,,Cuenca
2020-01-18,5.2,2.2,7.9,2.8,,184.0,7.4,,1026.1,,Cuenca
2020-01-19,3.9,1.8,6.1,0.0,,358.0,12.3,,1018.2,,Cuenca
2020-01-20,3.6,1.4,6.2,0.0,,5.0,15.1,,1021.9,,Cuenca
2020-01-21,3.6,2.1,5.3,15.6,,341.0,9.2,,1017.9,,Cuenca
2020-01-22,5.8,1.5,10.5,0.0,,,,,1018.8,,Cuenca
2020-01-23,3.8,-0.8,7.6,0.0,,192.0,4.8,,1020.3,,Cuenca
2020-01-24,5.9,4.4,7.2,0.6,,180.0,4.3,,1021.5,,Cuenca
2020-01-25,6.1,5.1,7.3,7.2,,166.0,5.5,,1019.1,,Cuenca
2020-01-26,6.1,2.2,10.5,0.2,,312.0,4.9,,1020.3,,Cuenca
2020-01-27,4.7,0.9,7.1,0.6,,217.0,9.3,,1021.3,,Cuenca
2020-01-28,8.2,6.2,10.1,0.2,,248.0,11.6,,1019.1,,Cuenca
2020-01-29,9.6,8.6,12.4,0.0,,244.0,7.4,,1021.1,,Cuenca
2020-01-30,9.1,7.4,11.2,0.0,,233.0,7.2,,1020.9,,Cuenca
2020-01-31,9.4,7.9,11.6,1.4,,258.0,5.8,,1021.5,,Cuenca
2020-02-01,10.9,8.0,14.8,0.2,,231.0,6.7,,1022.3,,Cuenca
2020-02-02,11.5,6.6,18.1,0.0,,200.0,5.9,,1027.2,,Cuenca
2020-02-03,10.6,3.2,22.9,0.0,,157.0,4.4,,1027.8,,Cuenca
2020-02-04,10.4,3.2,19.9,0.0,,334.0,6.2,,1024.5,,Cuenca
2020-02-05,7.2,0.5,15.0,0.0,,214.0,4.3,,1028.3,,Cuenca
2020-02-06,7.1,1.8,14.2,0.0,,175.0,7.3,,1026.6,,Cuenca
2020-02-07,6.3,1.9,13.6,0.6,,,,,1024.2,,Cuenca
2020-02-08,6.5,1.8,11.8,0.0,,161.0,6.0,,1024.3,,Cuenca
2020-02-09,6.7,2.6,11.5,0.0,,207.0,7.2,,1028.7,,Cuenca
2020-02-10,8.9,4.7,15.5,0.0,,254.0,7.5,,1027.5,,Cuenca
2020-02-11,10.3,3.4,18.7,0.0,,345.0,5.8,,1024.3,,Cuenca
