date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2019-12-30,10.9,5.9,18.3,0.0,,48.0,6.1,18.5,1030.4,,Huelva
2019-12-31,11.1,5.6,17.9,0.0,,42.0,5.7,18.5,1030.9,,Huelva
2020-01-01,9.8,5.4,18.4,0.0,,34.0,5.4,18.5,1031.4,,Huelva
2020-01-02,10.8,5.2,17.2,0.0,,53.0,5.8,20.4,1031.3,,Huelva
2020-01-03,13.1,8.4,16.1,0.0,,3.0,6.4,16.7,1032.8,,Huelva
2020-01-04,9.9,5.8,15.8,0.0,,26.0,6.3,18.5,1031.9,,Huelva
2020-01-05,12.1,8.5,17.0,0.0,,45.0,7.4,24.1,1029.1,,Huelva
2020-01-06,10.4,5.4,18.1,0.0,,29.0,5.4,18.5,1028.8,,Huelva
2020-01-07,10.4,4.5,18.7,0.0,,18.0,5.7,16.7,1030.6,,Huelva
2020-01-08,10.2,4.1,20.0,0.0,,347.0,5.8,14.8,1028.9,,Huelva
2020-01-09,9.5,3.4,16.8,0.0,,337.0,6.3,16.7,1028.2,,Huelva
2020-01-10,11.1,7.1,16.3,0.0,,337.0,9.7,22.2,1027.8,,Huelva
2020-01-11,9.0,4.8,17.3,0.0,,32.0,8.0,24.1,1029.6,,Huelva
2020-01-12,9.9,3.4,18.5,0.0,,17.0,5.7,16.7,1030.8,,Huelva
2020-01-13,8.7,2.9,16.1,0.0,,31.0,5.7,18.5,1027.5,,Huelva
2020-01-14,9.0,3.0,16.1,0.0,,88.0,7.6,22.2,1024.3,,Huelva
2020-01-15,12.5,7.3,18.7,0.0,,114.0,9.0,25.9,1025.2,,Huelva
2020-01-16,13.3,8.8,18.9,0.0,,107.0,8.9,25.9,1027.9,,Huelva
2020-01-17,14.4,11.3,18.9,0.5,,13.0,6.1,20.4,1031.6,,Huelva
2020-01-18,13.4,9.5,17.4,0.0,,217.0,10.8,27.8,1029.4,,Huelva
2020-01-19,12.5,8.8,16.9,5.1,,326.0,15.1,31.5,1022.3,,Huelva
2020-01-20,9.5,5.8,13.1,0.0,,25.0,17.4,42.6,1016.8,,Huelva
2020-01-21,10.3,6.0,15.2,0.0,,18.0,9.2,24.1,1014.6,,Huelva
2020-01-22,9.3,7.1,10.2,0.0,,72.0,8.6,25.9,1014.6,,Huelva
2020-01-23,10.9,9.6,12.4,22.1,,116.0,11.7,31.5,1015.3,,Huelva
2020-01-24,11.4,10.1,13.9,21.1,,103.0,10.5,31.5,1017.6,,Huelva
2020-01-25,11.5,9.5,15.3,16.3,,92.0,7.9,22.2,1016.7,,Huelva
2020-01-26,10.7,6.3,16.3,2.3,,299.0,6.7,20.4,1025.1,,Huelva
2020-01-27,11.4,6.5,15.7,0.3,,16.0,7.2,22.2,1026.9,,Huelva
2020-01-28,12.4,8.0,17.8,0.0,,297.0,6.0,18.5,1026.7,,Huelva
2020-01-29,13.0,9.9,18.9,0.0,,7.0,5.6,16.7,1026.1,,Huelva
2020-01-30,13.2,8.5,18.1,0.3,,19.0,6.1,20.4,1026.8,,Huelva
2020-01-31,14.4,11.4,19.0,0.0,,24.0,5.8,18.5,1026.8,,Huelva
2020-02-01,15.6,12.4,20.5,0.0,,323.0,5.4,18.5,1027.3,,Huelva
2020-02-02,16.1,10.9,23.7,0.0,,37.0,6.2,22.2,1028.3,,Huelva
2020-02-03,15.6,9.2,23.9,0.0,,23.0,6.5,22.2,1028.6,,Huelva
2020-02-04,16.6,9.0,27.3,0.0,,351.0,6.5,18.5,1028.1,,Huelva
2020-02-05,14.0,7.4,20.4,0.0,,42.0,7.0,24.1,1023.9,,Huelva
2020-02-06,13.6,8.0,20.3,0.0,,87.0,8.3,25.9,1021.8,,Huelva
2020-02-07,13.8,9.9,19.4,0.0,,81.0,7.5,24.1,1023.7,,Huelva
2020-02-08,13.3,9.6,18.6,0.0,,310.0,6.5,22.2,1026.7,,Huelva
2020-02-09,14.5,11.8,19.1,1.0,,359.0,6.2,18.5,1029.9,,Huelva
2020-02-10,15.5,9.4,22.9,0.0,,345.0,6.1,18.5,1032.1,,Huelva
2020-02-11,15.0,9.7,21.5,0.0,,315.0,7.6,22.2,1028.0,,Huelva
2020-02-12,14.7,12.0,18.7,0.0,,301.0,6.9,22.2,1024.7,,Huelva
2020-02-13,14.2,9.9,18.5,0.0,,321.0,7.4,22.2,1025.4,,Huelva
2020-02-14,14.1,8.8,21.8,0.0,,0.0,6.4,18.5,1025.3,,Huelva
2020-02-15,14.2,8.5,20.8,0.0,,4.0,6.8,22.2,1026.0,,Huelva
2020-02-16,13.2,8.8,20.6,0.0,,324.0,7.4,22.2,1027.8,,Huelva
2020-02-17,15.2,9.5,22.7,0.0,,333.0,8.3,25.9,1028.8,,Huelva
2020-02-18,15.2,10.7,21.5,0.0,,319.0,9.5,24.1,1028.6,,Huelva
2020-02-19,14.6,9.0,21.4,0.0,,40.0,7.5,24.1,1028.0,,Huelva
2020-02-20,14.5,8.6,21.5,0.0,,58.0,7.6,24.1,1023.3,,Huelva
2020-02-21,14.4,9.3,22.5,0.0,,63.0,7.5,24.1,1025.7,,Huelva
2020-02-22,15.2,8.4,23.7,0.0,,55.0,7.9,25.9,1029.1,,Huelva
2020-02-23,14.8,8.2,24.9,0.0,,66.0,8.4,27.8,1029.8,,Huelva
2020-02-24,13.8,7.3,22.7,0.0,,338.0,8.2,24.1,1027.5,,Huelva
2020-02-25,13.6,9.2,18.7,0.0,,305.0,12.3,33.3,1025.0,,Huelva
2020-02-26,14.8,9.8,20.1,0.0,,315.0,12.0,29.6,1024.5,,Huelva
2020-02-27,14.2,8.4,24.0,0.0,,332.0,9.2,22.2,1024.5,,Huelva
2020-02-28,14.0,6.6,22.3,0.0,,9.0,8.6,25.9,1020.8,,Huelva
2020-02-29,13.4,7.7,19.0,0.0,,258.0,13.8,37.0,1019.8,,Huelva
2020-03-01,14.8,11.8,19.9,0.0,,248.0,14.2,33.3,1019.8,,Huelva
2020-03-02,16.9,12.4,20.9,0.3,,264.0,20.9,42.6,1018.5,,Huelva
2020-03-03,13.8,8.5,19.4,0.3,,272.0,12.6,35.2,1024.8,,Huelva
2020-03-04,14.9,9.6,22.2,0.0,,295.0,9.9,27.8,1024.4,,Huelva
2020-03-05,14.9,11.4,20.4,0.0,,292.0,12.3,33.3,1020.7,,Huelva
2020-03-06,13.3,7.8,19.5,0.0,,306.0,14.3,37.0,1024.6,,Huelva
2020-03-07,14.2,7.2,22.6,0.0,,351.0,9.2,25.9,1026.0,,Huelva
2020-03-08,15.2,7.3,24.8,0.0,,337.0,8.7,25.9,1026.2,,Huelva
2020-03-09,17.3,10.1,24.7,0.0,,325.0,11.0,27.8,1026.8,,Huelva
2020-03-10,18.6,10.2,28.9,0.0,,1.0,8.1,25.9,1024.9,,Huelva
2020-03-11,16.3,9.4,29.0,0.0,,68.0,8.0,27.8,1021.3,,Huelva
2020-03-12,16.1,12.2,20.5,0.0,,158.0,9.1,25.9,1019.1,,Huelva
2020-03-13,15.4,12.3,20.4,0.0,,283.0,8.4,25.9,1018.2,,Huelva
2020-03-14,15.7,11.9,20.9,,,303.0,8.2,24.1,1018.6,,Huelva
2020-03-15,15.9,10.4,21.6,0.0,,301.0,10.2,29.6,1016.1,,Huelva
2020-03-16,12.9,6.9,17.9,0.0,,320.0,15.7,38.9,1016.8,,Huelva
2020-03-17,11.0,7.3,16.1,1.8,,48.0,10.7,35.2,1018.4,,Huelva
2020-03-18,17.1,11.6,23.7,12.7,,68.0,11.6,31.5,1017.8,,Huelva
2020-03-19,15.9,11.2,22.2,0.0,,91.0,9.1,25.9,1016.4,,Huelva
2020-03-20,14.6,11.9,18.4,0.0,,148.0,8.9,27.8,1013.3,,Huelva
2020-03-21,10.6,9.5,14.5,15.0,,231.0,12.2,29.6,1011.7,,Huelva
2020-03-22,11.9,7.8,17.4,11.9,,307.0,7.3,22.2,1011.5,,Huelva
2020-03-23,13.2,8.3,19.8,0.0,,34.0,7.2,25.9,1012.3,,Huelva
2020-03-24,15.5,10.3,22.1,0.0,,31.0,9.1,27.8,1010.5,,Huelva
2020-03-25,14.9,11.4,18.6,0.0,,137.0,9.3,27.8,1015.7,,Huelva
2020-03-26,15.2,8.8,22.7,0.5,,287.0,12.8,35.2,1013.1,,Huelva
2020-03-27,12.7,7.7,18.3,0.0,,280.0,12.2,31.5,1010.8,,Huelva
2020-03-28,13.7,7.9,19.7,0.0,,105.0,9.2,25.9,1015.3,,Huelva
2020-03-29,14.4,8.6,20.7,0.0,,109.0,8.7,27.8,1018.6,,Huelva
2020-03-30,12.7,9.0,18.2,0.0,,115.0,9.3,27.8,1012.4,,Huelva
2020-03-31,14.5,11.7,18.3,15.2,,193.0,14.6,35.2,1004.7,,Huelva
2020-04-01,12.8,8.7,16.4,0.5,,251.0,11.4,31.5,1012.2,,Huelva
2020-04-02,13.6,8.9,18.8,6.4,,309.0,11.5,31.5,1012.9,,Huelva
2020-04-03,15.2,8.0,22.4,0.0,,283.0,8.6,25.9,1015.4,,Huelva
2020-04-04,14.6,10.1,20.7,0.0,,102.0,11.3,31.5,1013.1,,Huelva
