date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-01-01,8.4,2.6,17.0,0.0,,253.0,3.6,,1032.5,,Murcia
2020-01-02,10.1,8.9,12.4,0.0,,241.0,3.5,,1032.4,,Murcia
2020-01-03,9.9,4.3,19.2,0.0,,246.0,4.1,,1031.4,,Murcia
2020-01-04,10.1,5.4,17.0,0.0,,281.0,4.9,,1033.0,,Murcia
2020-01-05,8.6,3.1,17.5,0.0,,252.0,4.1,,1030.4,,Murcia
2020-01-06,8.3,0.5,17.0,0.0,,240.0,4.1,,1029.5,,Murcia
2020-01-07,8.6,0.5,17.6,0.0,,233.0,3.7,,1031.0,,Murcia
2020-01-08,8.4,1.3,16.1,0.0,,274.0,4.8,,1029.8,,Murcia
2020-01-09,11.2,7.8,17.5,0.0,,248.0,3.7,,1028.2,,Murcia
2020-01-10,11.3,6.4,17.8,0.0,,288.0,9.7,,1024.9,,Murcia
2020-01-11,11.1,6.8,17.7,0.0,,308.0,8.2,,1029.9,,Murcia
2020-01-12,9.1,1.8,18.4,0.0,,273.0,6.4,,1030.4,,Murcia
2020-01-13,8.2,1.7,16.6,0.0,,240.0,4.4,,1027.3,,Murcia
2020-01-14,8.8,1.3,17.9,0.0,,245.0,4.7,,1023.4,,Murcia
2020-01-15,9.4,2.4,19.3,0.0,,245.0,5.1,,1026.2,,Murcia
2020-01-16,10.4,2.1,20.5,0.0,,237.0,4.8,,1028.6,,Murcia
2020-01-17,11.4,3.7,20.7,0.0,,261.0,5.5,,1030.2,,Murcia
2020-01-18,11.0,7.0,16.7,0.0,,243.0,4.6,,1029.1,,Murcia
2020-01-19,9.5,6.3,13.4,6.2,,291.0,16.3,,1017.1,,Murcia
2020-01-20,7.6,6.5,8.5,35.4,10.0,323.0,16.9,,1016.6,,Murcia
2020-01-21,9.3,7.8,12.6,28.4,20.0,295.0,6.8,,1014.0,,Murcia
2020-01-22,11.1,7.7,16.5,0.0,10.0,293.0,4.8,,1018.1,,Murcia
2020-01-23,10.8,7.2,16.0,0.0,,304.0,5.7,,1020.5,,Murcia
2020-01-24,11.6,9.2,15.5,0.0,,313.0,5.4,,1021.8,,Murcia
2020-01-25,11.9,9.4,14.5,0.6,,302.0,4.8,,1019.3,,Murcia
2020-01-26,11.3,6.6,18.0,0.0,,262.0,6.6,,1022.0,,Murcia
2020-01-27,10.4,3.2,17.6,0.0,,243.0,5.6,,1025.1,,Murcia
2020-01-28,12.8,5.3,21.2,0.0,,242.0,5.6,,1023.8,,Murcia
2020-01-29,13.9,8.2,20.7,0.0,,246.0,6.5,,1023.7,,Murcia
2020-01-30,15.1,8.9,22.6,0.0,,243.0,5.8,,1023.3,,Murcia
2020-01-31,16.2,10.6,22.2,0.0,,274.0,7.9,,1023.5,,Murcia
2020-02-01,16.3,10.8,24.2,0.0,,256.0,7.4,,1024.2,,Murcia
2020-02-02,16.9,12.1,24.3,0.0,,252.0,7.7,,1028.3,,Murcia
2020-02-03,16.2,9.0,26.2,0.0,,244.0,5.4,,1028.8,,Murcia
2020-02-04,17.4,9.2,28.2,0.0,,266.0,7.5,,1026.2,,Murcia
2020-02-05,13.2,9.3,15.8,0.1,,42.0,6.4,,1028.5,,Murcia
2020-02-06,10.8,6.5,16.9,0.0,,88.0,5.3,,1027.2,,Murcia
2020-02-07,11.1,6.4,17.0,0.0,,261.0,4.4,,1025.0,,Murcia
2020-02-08,12.6,7.3,18.8,0.0,,237.0,5.1,,1025.4,,Murcia
2020-02-09,14.1,8.1,21.3,0.0,,229.0,5.3,,1029.8,,Murcia
2020-02-10,14.3,7.2,24.0,0.0,,234.0,5.8,,1030.9,,Murcia
2020-02-11,17.4,12.1,26.0,0.0,,246.0,6.6,,1025.0,,Murcia
2020-02-12,14.3,10.4,20.7,0.0,,283.0,5.4,,1023.5,,Murcia
2020-02-13,14.9,9.6,22.2,0.0,,248.0,5.3,,1023.3,,Murcia
2020-02-14,14.8,8.8,22.9,0.0,,261.0,6.3,,1025.0,,Murcia
2020-02-15,13.6,6.4,22.4,0.0,,249.0,5.0,,1026.5,,Murcia
2020-02-16,13.6,7.5,23.0,0.0,,214.0,4.9,,1027.2,,Murcia
2020-02-17,16.3,7.7,26.0,0.0,,254.0,6.4,,1025.8,,Murcia
2020-02-18,13.8,11.6,16.9,0.6,,21.0,7.5,,1030.0,,Murcia
2020-02-19,13.4,8.6,17.7,0.0,,37.0,5.5,,1031.1,,Murcia
2020-02-20,12.3,8.0,19.3,0.0,,270.0,5.1,,1026.6,,Murcia
2020-02-21,11.2,4.5,18.2,0.0,,304.0,6.1,,1029.5,,Murcia
2020-02-22,12.1,3.9,21.7,0.0,,242.0,5.4,,1032.1,,Murcia
2020-02-23,12.2,3.2,22.5,0.0,,234.0,4.9,,1033.6,,Murcia
2020-02-24,13.2,4.0,24.6,0.0,,222.0,4.8,,1027.4,,Murcia
2020-02-25,16.4,5.0,27.0,0.0,,260.0,9.4,,1019.0,,Murcia
2020-02-26,18.1,12.2,23.6,0.0,,291.0,11.1,,1019.1,,Murcia
2020-02-27,15.7,7.3,24.8,0.0,,262.0,8.4,,1020.9,,Murcia
2020-02-28,16.2,10.4,24.9,0.0,,282.0,7.3,,1021.1,,Murcia
2020-02-29,16.2,7.7,26.7,0.0,,263.0,6.5,,1015.4,,Murcia
2020-03-01,18.5,13.7,23.4,0.0,,267.0,8.3,,1014.7,,Murcia
2020-03-02,19.7,12.9,26.2,0.0,,269.0,20.9,,1009.6,,Murcia
2020-03-03,15.9,7.5,24.6,0.0,,287.0,12.4,,1017.4,,Murcia
2020-03-04,18.8,10.8,27.1,0.0,,289.0,10.5,,1018.7,,Murcia
2020-03-05,18.1,9.6,26.8,0.0,,274.0,11.2,,1013.7,,Murcia
2020-03-06,15.3,9.7,19.9,0.0,,291.0,16.8,,1017.1,,Murcia
2020-03-07,14.5,9.0,20.9,0.0,,304.0,16.1,,1023.4,,Murcia
2020-03-08,15.7,6.5,25.4,0.0,,251.0,6.9,,1023.7,,Murcia
2020-03-09,19.1,12.9,25.6,0.0,,299.0,13.2,,1022.7,,Murcia
2020-03-10,18.5,12.9,25.7,0.0,,270.0,7.7,,1024.6,,Murcia
2020-03-11,17.8,10.6,31.9,0.0,,203.0,6.5,,1022.8,,Murcia
2020-03-12,18.3,10.9,28.5,0.0,,60.0,6.8,,1019.7,,Murcia
2020-03-13,15.9,10.7,24.9,0.0,,70.0,7.2,,1017.9,,Murcia
2020-03-14,16.6,10.5,23.7,0.0,,92.0,6.8,,1019.8,,Murcia
2020-03-15,16.3,13.2,21.0,0.4,,77.0,7.2,,1017.6,,Murcia
2020-03-16,12.3,7.4,17.0,6.0,,39.0,8.6,,1012.9,,Murcia
2020-03-17,12.7,7.4,17.3,0.2,,17.0,6.6,,1022.1,,Murcia
2020-03-18,15.4,11.0,20.2,0.0,,30.0,11.4,,1024.9,,Murcia
2020-03-19,14.7,11.9,18.9,0.0,,18.0,10.2,,1021.9,,Murcia
2020-03-20,13.7,9.8,17.5,0.0,,19.0,8.7,,1017.5,,Murcia
2020-03-21,13.1,9.4,16.8,16.8,,299.0,5.9,,1013.8,,Murcia
2020-03-22,11.1,8.3,13.9,5.6,,317.0,5.7,,1012.3,,Murcia
2020-03-23,12.8,9.7,17.5,64.8,,64.0,8.7,,1015.0,,Murcia
2020-03-24,12.4,10.6,13.5,16.0,,42.0,14.6,,1014.3,,Murcia
2020-03-25,11.9,9.6,14.9,2.4,,1.0,8.6,,1016.5,,Murcia
2020-03-26,13.3,8.3,20.7,0.0,,343.0,9.8,,1010.0,,Murcia
2020-03-27,10.5,9.2,11.6,7.4,,43.0,8.0,,1013.0,,Murcia
2020-03-28,11.9,8.1,18.5,0.0,,321.0,6.8,,1017.7,,Murcia
2020-03-29,14.2,6.1,22.7,0.0,,241.0,6.3,,1017.8,,Murcia
2020-03-30,13.1,9.2,18.5,2.4,,97.0,9.2,,1012.8,,Murcia
2020-03-31,14.3,11.4,18.9,0.2,,56.0,10.0,,1009.5,,Murcia
2020-04-01,15.8,11.5,22.1,6.8,,277.0,5.8,,1011.2,,Murcia
2020-04-02,13.2,8.0,19.5,0.8,10.0,303.0,6.1,,1011.8,,Murcia
2020-04-03,14.4,10.1,21.1,0.0,,222.0,6.1,,1016.1,,Murcia
2020-04-04,13.5,7.9,19.8,0.0,,81.0,8.0,,1019.4,,Murcia
2020-04-05,14.4,10.2,19.3,0.0,,65.0,8.1,,1020.5,,Murcia
2020-04-06,15.2,9.1,21.8,0.0,,56.0,6.9,,1022.7,,Murcia
2020-04-07,15.7,10.4,21.2,0.0,,56.0,8.1,,1025.4,,Murcia
2020-04-08,14.9,9.6,21.3,0.0,,35.0,7.7,,1024.8,,Murcia
