date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2019-12-31,10.5,5.7,16.6,0.0,,295.0,12.5,20.4,1032.6,,Málaga
2020-01-01,11.4,8.3,17.2,0.0,,267.0,11.4,16.7,1032.3,,Málaga
2020-01-02,11.4,7.9,16.2,0.0,,285.0,8.3,13.0,1032.2,,Málaga
2020-01-03,10.9,5.3,17.7,0.0,,276.0,13.4,14.8,1031.8,,Málaga
2020-01-04,11.7,7.1,15.4,0.0,,310.0,15.5,20.4,1031.5,,Málaga
2020-01-05,13.6,9.6,17.1,0.0,,78.0,12.1,22.2,1029.5,,Málaga
2020-01-06,10.7,6.7,17.0,0.0,,267.0,11.1,18.5,1029.5,,Málaga
2020-01-07,9.6,4.7,16.6,0.0,,270.0,12.4,20.4,1031.2,,Málaga
2020-01-08,9.6,4.5,16.6,0.0,,293.0,9.8,18.5,1029.4,,Málaga
2020-01-09,11.9,8.4,16.8,0.0,,263.0,9.9,14.8,1028.7,,Málaga
2020-01-10,13.5,7.9,18.2,0.0,,277.0,22.5,22.2,1025.4,,Málaga
2020-01-11,10.6,5.3,17.8,0.0,,261.0,13.1,24.1,1029.4,,Málaga
2020-01-12,10.8,5.6,16.9,0.0,,262.0,13.3,20.4,1030.7,,Málaga
2020-01-13,10.1,5.0,16.6,0.0,,275.0,11.3,16.7,1027.7,,Málaga
2020-01-14,10.2,5.0,17.6,0.0,,284.0,13.8,16.7,1024.3,,Málaga
2020-01-15,11.7,5.8,20.6,0.0,,295.0,12.7,20.4,1026.4,,Málaga
2020-01-16,11.1,6.7,17.8,0.0,,284.0,13.0,18.5,1029.0,,Málaga
2020-01-17,12.8,6.0,21.8,0.0,,288.0,16.8,16.7,1031.3,,Málaga
2020-01-18,11.9,8.2,16.1,0.5,,305.0,10.2,29.6,1030.1,,Málaga
2020-01-19,13.2,10.5,16.9,0.0,,297.0,25.3,29.6,1018.5,,Málaga
