date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-01-02,2.1,-0.6,6.3,0.0,,175.0,8.4,25.9,1029.7,,Orense
2020-01-03,7.6,4.9,10.0,1.2,,263.0,7.2,22.2,1032.9,,Orense
2020-01-04,7.1,0.6,10.3,0.0,,96.0,4.9,14.8,1036.5,,Orense
2020-01-05,2.8,0.0,9.9,0.0,,142.0,4.0,11.1,1032.0,,Orense
2020-01-06,1.8,-0.6,5.9,0.0,,186.0,5.2,14.8,1030.8,,Orense
2020-01-07,1.7,-0.4,7.3,0.0,,179.0,6.1,14.8,1033.2,,Orense
2020-01-08,4.4,-0.4,9.5,0.0,,181.0,6.6,16.7,1030.5,,Orense
2020-01-09,8.8,3.9,17.4,0.2,,243.0,16.2,38.9,1026.5,,Orense
2020-01-10,4.9,1.1,12.9,0.0,,348.0,4.4,16.7,1033.4,,Orense
2020-01-11,1.8,0.2,8.7,0.0,,189.0,6.9,13.0,1032.9,,Orense
2020-01-12,2.1,-0.5,8.2,0.0,,186.0,6.5,14.8,1031.9,,Orense
2020-01-13,5.4,0.0,14.5,0.0,,198.0,22.5,48.2,1021.9,,Orense
2020-01-14,12.5,10.3,16.4,20.6,,195.0,28.7,55.5,1013.7,,Orense
2020-01-15,13.2,10.0,17.4,1.8,,203.0,16.8,59.3,1015.9,,Orense
2020-01-16,13.6,9.7,15.6,10.8,,198.0,26.4,55.5,1016.9,,Orense
2020-01-17,8.8,5.9,11.6,0.2,,207.0,9.1,35.2,1029.1,,Orense
2020-01-18,10.9,6.9,16.6,7.6,,207.0,13.3,37.0,1022.9,,Orense
2020-01-19,9.7,2.9,13.9,0.0,,35.0,13.0,35.2,1032.5,,Orense
2020-01-20,6.3,0.9,12.4,0.0,,53.0,10.3,35.2,1033.5,,Orense
2020-01-21,6.8,-0.7,13.3,0.0,,54.0,9.8,33.3,1028.0,,Orense
2020-01-22,9.6,4.9,16.6,0.0,,39.0,8.8,29.6,1021.9,,Orense
2020-01-23,5.6,0.6,13.5,0.0,,83.0,4.0,20.4,1018.0,,Orense
2020-01-24,7.1,1.4,13.6,0.0,,72.0,4.2,13.0,1019.2,,Orense
2020-01-25,5.6,1.0,15.0,0.0,,266.0,3.8,16.7,1018.1,,Orense
2020-01-26,7.6,1.1,13.9,1.0,,186.0,13.6,35.2,1020.9,,Orense
2020-01-27,12.6,10.6,15.6,7.2,,226.0,19.4,40.8,1016.7,,Orense
2020-01-28,11.1,8.2,13.1,3.2,,210.0,7.2,31.5,1020.4,,Orense
2020-01-29,12.3,11.0,13.6,6.2,,213.0,20.8,40.8,1019.5,,Orense
2020-01-30,14.3,12.1,16.5,0.0,,206.0,19.4,46.3,1018.9,,Orense
2020-01-31,15.1,12.2,18.5,5.8,,201.0,19.1,37.0,1019.5,,Orense
2020-02-01,16.1,13.6,19.0,0.0,,221.0,18.5,40.8,1021.6,,Orense
2020-02-02,14.7,8.4,23.5,0.0,,207.0,20.1,46.3,1025.8,,Orense
2020-02-03,12.0,4.8,24.1,0.0,,200.0,11.9,27.8,1027.6,,Orense
2020-02-04,10.8,5.5,18.7,0.0,,79.0,5.1,18.5,1031.9,,Orense
2020-02-05,10.2,4.5,19.9,0.0,,94.0,5.3,16.7,1027.2,,Orense
2020-02-06,9.3,2.2,19.8,0.0,,176.0,9.1,18.5,1021.0,,Orense
2020-02-07,10.0,3.9,17.2,4.8,,190.0,11.1,31.5,1021.0,,Orense
2020-02-08,11.7,7.5,16.2,0.2,,219.0,9.1,24.1,1024.2,,Orense
2020-02-09,10.7,6.4,14.2,0.0,,200.0,19.7,40.8,1026.4,,Orense
2020-02-10,15.0,9.5,20.1,0.0,,222.0,17.8,40.8,1030.5,,Orense
2020-02-11,11.7,8.3,15.8,0.6,,230.0,7.3,20.4,1029.2,,Orense
2020-02-12,13.5,10.6,19.5,0.0,,214.0,7.9,25.9,1024.0,,Orense
2020-02-13,14.2,12.3,18.4,0.0,,221.0,14.9,35.2,1022.8,,Orense
2020-02-14,11.8,6.9,16.4,0.0,,205.0,9.9,25.9,1025.5,,Orense
2020-02-15,10.6,5.0,18.5,0.0,,191.0,17.7,48.2,1022.9,,Orense
2020-02-16,15.7,13.3,18.5,2.0,,208.0,30.3,55.5,1020.4,,Orense
2020-02-17,12.3,4.6,15.6,0.0,,291.0,13.5,35.2,1029.8,,Orense
2020-02-18,5.8,0.5,14.9,0.0,,138.0,5.3,20.4,1036.6,,Orense
2020-02-19,6.7,-0.2,18.0,0.0,,208.0,4.9,18.5,1032.8,,Orense
2020-02-20,7.5,0.3,18.5,0.0,,176.0,7.9,18.5,1026.7,,Orense
2020-02-21,10.9,3.8,22.8,0.0,,78.0,4.4,18.5,1029.9,,Orense
2020-02-22,10.3,0.9,24.4,0.0,,344.0,7.7,16.7,1032.8,,Orense
2020-02-23,10.6,1.1,25.4,0.0,,318.0,5.3,14.8,1032.7,,Orense
2020-02-24,10.3,0.5,23.7,0.0,,221.0,7.8,24.1,1028.6,,Orense
2020-02-25,10.8,7.5,16.9,0.0,,247.0,13.9,27.8,1024.7,,Orense
2020-02-26,10.4,6.6,14.2,0.0,,244.0,10.1,33.3,1025.7,,Orense
2020-02-27,13.1,7.7,18.9,0.0,,230.0,17.9,38.9,1023.3,,Orense
2020-02-28,10.7,3.4,22.0,8.6,,188.0,14.7,40.8,1019.0,,Orense
2020-02-29,11.7,9.3,13.9,2.2,,233.0,21.6,61.1,1010.2,,Orense
