date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2020-01-02,6.8,2.9,14.4,0.0,,200.0,5.6,24.1,1028.3,,Sebastian
2020-01-03,7.9,4.9,12.0,0.0,,193.0,7.8,24.1,1032.4,,Sebastian
2020-01-04,9.9,7.0,12.1,3.0,,108.0,5.4,22.2,1036.7,,Sebastian
2020-01-05,5.3,1.9,7.0,1.0,,148.0,4.2,14.8,1033.2,,Sebastian
2020-01-06,8.2,2.0,14.0,0.0,,219.0,6.7,22.2,1029.1,,Sebastian
2020-01-07,9.7,7.0,14.0,0.0,,190.0,6.3,20.4,1032.1,,Sebastian
2020-01-08,9.5,6.0,15.0,0.0,,198.0,5.2,22.2,1030.1,,Sebastian
2020-01-09,12.6,6.0,19.3,0.0,,217.0,13.6,40.8,1023.6,,Sebastian
2020-01-10,10.5,6.0,13.4,11.7,,270.0,11.6,44.5,1030.2,,Sebastian
2020-01-11,6.6,3.0,12.0,3.8,,169.0,4.9,14.8,1032.9,,Sebastian
2020-01-12,6.9,3.0,13.4,0.0,,177.0,7.1,16.7,1031.0,,Sebastian
2020-01-13,8.7,1.9,16.0,0.0,,207.0,8.4,46.3,1021.6,,Sebastian
2020-01-14,13.6,9.4,19.0,0.0,,183.0,16.9,55.5,1015.3,,Sebastian
2020-01-15,13.2,8.0,16.7,0.0,,185.0,16.4,61.1,1018.9,,Sebastian
2020-01-16,14.9,6.0,18.7,0.0,,177.0,16.2,55.5,1021.0,,Sebastian
2020-01-17,11.9,8.0,17.0,0.3,,238.0,15.1,51.8,1027.6,,Sebastian
2020-01-18,9.8,6.0,16.2,18.3,,190.0,11.1,38.9,1024.2,,Sebastian
2020-01-19,7.8,6.0,10.1,12.4,10.0,48.0,20.6,61.1,1030.4,,Sebastian
2020-01-20,3.8,0.5,6.2,0.0,,73.0,6.9,59.3,1035.5,,Sebastian
2020-01-21,3.7,-0.4,6.0,0.0,,107.0,5.3,33.3,1030.9,,Sebastian
2020-01-22,7.9,6.0,11.4,0.0,,175.0,4.9,29.6,1023.6,,Sebastian
2020-01-23,8.7,5.0,11.6,0.0,,211.0,4.2,29.6,1019.6,,Sebastian
2020-01-24,12.3,9.0,16.2,2.0,,171.0,9.1,33.3,1019.2,,Sebastian
2020-01-25,10.5,6.0,15.0,0.0,,171.0,5.2,20.4,1017.5,,Sebastian
2020-01-26,10.7,7.0,15.4,2.0,,186.0,6.2,25.9,1020.2,,Sebastian
2020-01-27,12.7,5.7,17.0,0.0,,199.0,15.9,44.5,1015.8,,Sebastian
2020-01-28,12.8,9.0,15.4,9.4,10.0,247.0,13.0,40.8,1018.9,,Sebastian
2020-01-29,11.2,6.5,16.0,0.0,,178.0,5.4,27.8,1020.3,,Sebastian
2020-01-30,15.6,13.0,21.2,4.6,,206.0,8.8,35.2,1018.1,,Sebastian
2020-01-31,14.0,10.0,19.2,0.0,,297.0,4.1,27.8,1019.5,,Sebastian
2020-02-01,15.6,10.4,19.0,0.5,,271.0,7.5,37.0,1020.2,,Sebastian
2020-02-02,16.2,11.2,24.0,0.3,,193.0,8.5,27.8,1023.9,,Sebastian
2020-02-03,17.3,11.0,27.2,0.0,,188.0,7.9,31.5,1026.1,,Sebastian
2020-02-04,12.8,11.0,18.0,0.0,,336.0,10.5,38.9,1032.3,,Sebastian
2020-02-05,8.8,5.0,12.4,8.4,,82.0,10.0,27.8,1032.4,,Sebastian
2020-02-06,9.4,1.8,19.5,0.0,,146.0,5.2,33.3,1022.2,,Sebastian
2020-02-07,12.2,7.8,18.4,0.0,,185.0,7.0,38.9,1020.9,,Sebastian
