date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2019-12-30,11.2,7.1,17.7,0.0,,53.0,10.5,25.9,1030.2,,Sevilla
2019-12-31,11.1,7.1,17.6,0.0,,52.0,9.1,24.1,1030.8,,Sevilla
2020-01-01,10.8,6.9,17.2,0.0,,38.0,5.1,20.4,1031.4,,Sevilla
2020-01-02,10.1,5.7,16.7,0.0,,32.0,3.3,16.7,1031.4,,Sevilla
2020-01-03,10.0,6.6,15.7,0.0,,27.0,3.8,14.8,1032.8,,Sevilla
2020-01-04,9.6,5.4,15.6,0.0,,44.0,7.3,24.1,1031.6,,Sevilla
2020-01-05,10.6,7.1,16.7,0.0,,47.0,11.3,27.8,1029.1,,Sevilla
2020-01-06,9.9,5.3,16.7,0.0,,39.0,6.5,20.4,1028.8,,Sevilla
2020-01-07,10.0,4.9,17.6,0.0,,51.0,5.6,22.2,1030.5,,Sevilla
2020-01-08,9.6,4.3,17.2,0.0,,60.0,3.6,16.7,1028.8,,Sevilla
2020-01-09,9.2,4.8,15.4,0.0,,109.0,3.7,16.7,1028.1,,Sevilla
2020-01-10,9.7,5.7,15.6,0.0,,20.0,5.3,22.2,1027.2,,Sevilla
2020-01-11,9.8,5.3,16.4,0.0,,53.0,8.4,25.9,1029.4,,Sevilla
2020-01-12,9.1,4.1,16.7,0.0,,47.0,4.9,20.4,1030.8,,Sevilla
2020-01-13,8.3,3.5,15.1,0.0,,54.0,4.5,18.5,1027.5,,Sevilla
2020-01-14,9.3,5.5,14.6,0.0,,52.0,3.7,14.8,1024.6,,Sevilla
2020-01-15,11.3,7.2,17.0,0.0,,93.0,5.4,20.4,1025.8,,Sevilla
2020-01-16,11.8,7.1,18.3,0.0,,55.0,5.5,16.7,1028.1,,Sevilla
2020-01-17,13.1,10.4,18.4,0.3,,91.0,3.4,16.7,1031.6,,Sevilla
2020-01-18,11.9,9.6,14.9,5.7,,128.0,7.7,22.2,1029.6,,Sevilla
2020-01-19,12.2,9.1,16.2,0.0,,317.0,12.9,29.6,1021.4,,Sevilla
2020-01-20,9.6,6.2,13.5,0.0,,47.0,22.2,50.0,1016.6,,Sevilla
2020-01-21,10.1,6.0,14.5,2.1,,47.0,11.2,27.8,1014.3,,Sevilla
2020-01-22,10.2,7.9,12.7,8.8,,67.0,9.4,24.1,1015.0,,Sevilla
2020-01-23,11.0,8.7,13.7,12.2,,93.0,8.9,24.1,1016.3,,Sevilla
2020-01-24,11.8,10.2,14.4,21.3,,98.0,8.0,22.2,1018.5,,Sevilla
2020-01-25,12.1,10.6,13.9,2.1,,162.0,7.9,24.1,1016.9,,Sevilla
2020-01-26,11.2,7.8,16.1,0.1,,214.0,3.8,18.5,1024.7,,Sevilla
2020-01-27,11.0,7.2,15.6,0.0,,112.0,3.9,14.8,1027.1,,Sevilla
2020-01-28,13.2,10.1,17.2,0.0,,190.0,3.8,16.7,1026.6,,Sevilla
2020-01-29,12.5,9.3,17.0,0.0,,40.0,3.3,16.7,1026.0,,Sevilla
2020-01-30,12.0,9.1,16.0,0.0,,196.0,3.6,16.7,1026.7,,Sevilla
2020-01-31,13.8,10.6,18.4,0.0,,162.0,3.2,14.8,1026.6,,Sevilla
2020-02-01,16.0,12.6,21.3,0.0,,109.0,3.4,16.7,1026.9,,Sevilla
2020-02-02,15.7,11.2,22.6,0.0,,47.0,8.8,27.8,1028.2,,Sevilla
2020-02-03,15.7,10.8,23.1,0.0,,22.0,6.9,22.2,1028.6,,Sevilla
2020-02-04,15.3,9.6,23.5,0.0,,42.0,5.2,22.2,1028.0,,Sevilla
2020-02-05,14.9,10.0,21.5,0.0,,53.0,10.4,24.1,1023.8,,Sevilla
2020-02-06,14.2,10.5,19.6,0.0,,56.0,10.6,25.9,1021.9,,Sevilla
2020-02-07,13.1,8.9,17.8,0.0,,11.0,3.9,18.5,1023.7,,Sevilla
2020-02-08,14.1,11.8,17.7,0.0,,224.0,4.1,18.5,1026.4,,Sevilla
2020-02-09,14.6,11.7,19.4,0.0,,59.0,4.3,18.5,1029.7,,Sevilla
2020-02-10,14.7,9.9,21.5,0.0,,50.0,4.4,20.4,1032.0,,Sevilla
2020-02-11,14.8,9.7,21.3,0.0,,90.0,4.5,20.4,1027.8,,Sevilla
2020-02-12,15.0,12.9,17.9,0.0,,216.0,4.6,16.7,1024.4,,Sevilla
